symbol,time,open,high,low,close,volume,date,average_sentiment_score,log_sentiment_score
BRK.B,2024-08-13 00:00:00-04:00,432.05,432.725,426.09,432.45,66017,2024-08-13 00:00:00.000000,,
BRK.B,2024-08-14 00:00:00-04:00,433.01,438.89,431.74,438.41,60847,2024-08-14 00:00:00.000000,,
BRK.B,2024-08-15 00:00:00-04:00,441.8,442.41,438.95,440.65,63584,2024-08-15 00:00:00.000000,,
BRK.B,2024-08-16 00:00:00-04:00,440.95,445.11,440.58,444.82,71073,2024-08-16 00:00:00.000000,,
BRK.B,2024-08-19 00:00:00-04:00,446.11,450.4,445.93,448.81,63352,2024-08-19 00:00:00.000000,,
BRK.B,2024-08-20 00:00:00-04:00,449.49,450.45,446.41,448.34,56962,2024-08-20 00:00:00.000000,,
BRK.B,2024-08-21 00:00:00-04:00,450.26,450.26,443.96,446.46,58231,2024-08-21 00:00:00.000000,,
BRK.B,2024-08-22 00:00:00-04:00,445.51,449.475,445.28,449.235,52351,2024-08-22 00:00:00.000000,,
BRK.B,2024-08-23 00:00:00-04:00,450.02,453.455,448.945,453.32,66389,2024-08-23 00:00:00.000000,,
BRK.B,2024-08-26 00:00:00-04:00,455.64,459.105,453.39,454.42,53096,2024-08-26 00:00:00.000000,,
BRK.B,2024-08-27 00:00:00-04:00,455.85,462.05,455.85,460.47,92636,2024-08-27 00:00:00.000000,,
BRK.B,2024-08-28 00:00:00-04:00,461.78,466.47,461.72,464.78,90566,2024-08-28 00:00:00.000000,,
BRK.B,2024-08-29 00:00:00-04:00,466.355,469.75,463.25,468.56,77007,2024-08-29 00:00:00.000000,,
BRK.B,2024-08-30 00:00:00-04:00,470.54,476.95,470.36,475.65,148966,2024-08-30 00:00:00.000000,,
UNH,2024-08-05 00:00:00-04:00,582.185,586.6,566.92,570.15,182448,2024-08-05 00:00:00.000000,0.9996232986450196,-0.0003767723247593
UNH,2024-08-06 00:00:00-04:00,566.75,577.32,563.2,568.15,186828,2024-08-06 00:00:00.000000,0.99989914894104,-0.0001008561447699
UNH,2024-08-07 00:00:00-04:00,567.085,571.28,557.28,566.25,301873,2024-08-07 00:00:00.000000,0.999727189540863,-0.0002728476786796
UNH,2024-08-08 00:00:00-04:00,565.52,571.91,564.935,566.28,114966,2024-08-08 00:00:00.000000,0.9421252608299256,-0.0596170399657612
